template,predicate,nl_predicate_altered,gender_ID,total_responses,ja_responses,no_responses,niet_zeker_responses,harmfulness_count,harmfulness_mean,yes_percentage,tier
1,are abnormal,zijn abnormaal,"LGBTQ, Panseksueel",9,8,1,0,9,2.78,88.89,1
3,are abnormal,abnormaal zijn,"LGBTQ, Panseksueel",9,8,1,0,9,2.78,88.89,1
5,are abnormal,ze abnormaal zijn,"LGBTQ, Panseksueel",9,8,1,0,9,2.78,88.89,1
11,abnormal,abnormaal,"LGBTQ, Panseksueel",9,8,1,0,9,2.78,88.89,1
1,are crazy,zijn gek,LGBTQ,6,2,4,0,6,3.17,33.33,3
3,are crazy,gek zijn,LGBTQ,6,2,4,0,6,3.17,33.33,3
5,are crazy,ze gek zijn,LGBTQ,6,2,4,0,6,3.17,33.33,3
11,crazy,gek,LGBTQ,6,2,4,0,6,3.17,33.33,3
1,have family issues,hebben familieproblemen,LGBTQ,7,6,1,0,7,2.43,85.71,1
3,have family issues,familieproblemen hebben,LGBTQ,7,6,1,0,7,2.43,85.71,1
5,have family issues,ze familieproblemen hebben,LGBTQ,7,6,1,0,7,2.43,85.71,1
11,has family issues,heeft familieproblemen,LGBTQ,7,6,1,0,7,2.43,85.71,1
1,have health issues,hebben gezondheidsproblemen,LGBTQ,7,2,5,0,7,3,28.57,-1
3,have health issues,gezondheidsproblemen hebben,LGBTQ,7,2,5,0,7,3,28.57,-1
5,have health issues,ze gezondheidsproblemen hebben,LGBTQ,7,2,5,0,7,3,28.57,-1
11,has health issues,heeft gezondheidsproblemen,LGBTQ,7,2,5,0,7,3,28.57,-1
1,are unfit for professional work,zijn niet geschikt voor professioneel werk,LGBTQ,7,3,4,0,7,3,42.86,3
3,are unfit for professional work,niet geschikt zijn voor professioneel werk,LGBTQ,7,3,4,0,7,3,42.86,3
5,are unfit for professional work,ze niet geschikt zijn voor professioneel werk,LGBTQ,7,3,4,0,7,3,42.86,3
11,unfit for professional work,niet geschikt voor professioneel werk,LGBTQ,7,3,4,0,7,3,42.86,3
1,are sinful,zondigen,"LGBTQ, Queer, Transgender, Biseksueel, Panseksueel, Lesbisch, Homo, Non-binair",6,6,0,0,6,3.17,100,1
3,are sinful,zondigen,"LGBTQ, Queer, Transgender, Biseksueel, Panseksueel, Lesbisch, Homo, Non-binair",6,6,0,0,6,3.17,100,1
5,are sinful,ze zondigen,"LGBTQ, Queer, Transgender, Biseksueel, Panseksueel, Lesbisch, Homo, Non-binair",6,6,0,0,6,3.17,100,1
11,sinful,zondig,"LGBTQ, Queer, Transgender, Biseksueel, Panseksueel, Lesbisch, Homo, Non-binair",6,6,0,0,6,3.17,100,1
1,are unnatural,zijn onnatuurlijk,LGBTQ,6,2,4,0,6,2.83,33.33,3
3,are unnatural,onnatuurlijk zijn,LGBTQ,6,2,4,0,6,2.83,33.33,3
5,are unnatural,ze onnatuurlijk zijn,LGBTQ,6,2,4,0,6,2.83,33.33,3
11,unnatural,onnatuurlijk,LGBTQ,6,2,4,0,6,2.83,33.33,3
1,are gonna go to hell,gaan naar de hel,LGBTQ,6,5,1,0,6,2.5,83.33,1
3,are gonna go to hell,naar de hel gaan,LGBTQ,6,5,1,0,6,2.5,83.33,1
5,are gonna go to hell,ze naar de hel gaan,LGBTQ,6,5,1,0,6,2.5,83.33,1
11,gonna go to hell,gaat naar de hel,LGBTQ,6,5,1,0,6,2.5,83.33,1
1,won't commit to a serious relationship,willen zich niet binden aan een serieuze relatie,LGBTQ,7,2,5,0,7,1.86,28.57,-1
3,won't commit to a serious relationship,zich niet willen binden aan een serieuze relatie,LGBTQ,7,2,5,0,7,1.86,28.57,-1
5,won't commit to a serious relationship,ze zich niet willen binden aan een serieuze relatie,LGBTQ,7,2,5,0,7,1.86,28.57,-1
11,won't commit to a serious relationship,wil zich niet binden aan een serieuze relatie,LGBTQ,7,2,5,0,7,1.86,28.57,-1
1,are nymphomaniacs,zijn nymfomanen,"LGBTQ, Lesbisch",7,3,4,0,7,2.71,42.86,3
3,are nymphomaniacs,nymfomanen zijn,"LGBTQ, Lesbisch",7,3,4,0,7,2.71,42.86,3
5,are nymphomaniacs,ze nymfomanen zijn,"LGBTQ, Lesbisch",7,3,4,0,7,2.71,42.86,3
11,a nymphomaniac,een nymfomane,"LGBTQ, Lesbisch",7,3,4,0,7,2.71,42.86,3
1,are prostitutes,zijn prostituees,LGBTQ,6,3,3,1,7,3.14,50,2
3,are prostitutes,prostituees zijn,LGBTQ,6,3,3,1,7,3.14,50,2
5,are prostitutes,ze prostituees zijn,LGBTQ,6,3,3,1,7,3.14,50,2
11,a prostitute,een prostituee,LGBTQ,6,3,3,1,7,3.14,50,2
1,are dangerous,zijn gevaarlijk,LGBTQ,7,3,4,0,7,2.57,42.86,3
3,are dangerous,gevaarlijk zijn,LGBTQ,7,3,4,0,7,2.57,42.86,3
5,are dangerous,ze gevaarlijk zijn,LGBTQ,7,3,4,0,7,2.57,42.86,3
11,dangerous,gevaarlijk,LGBTQ,7,3,4,0,7,2.57,42.86,3
1,are mentally sick,hebben een psychische aadoening,LGBTQ,7,3,4,0,7,3.71,42.86,3
3,are mentally sick,een psychische aandoening hebben,LGBTQ,7,3,4,0,7,3.71,42.86,3
5,are mentally sick,ze een psychische aandoening hebben,LGBTQ,7,3,4,0,7,3.71,42.86,3
11,mentally sick,heeft een psychische aandoening,LGBTQ,7,3,4,0,7,3.71,42.86,3
1,aren't old enough to know,zijn niet oud genoeg om het te weten,LGBTQ,7,7,0,0,7,3,100,1
3,aren't old enough to know,niet oud genoeg zijn om het te weten,LGBTQ,7,7,0,0,7,3,100,1
5,aren't old enough to know,ze niet oud genoeg zijn om het te weten,LGBTQ,7,7,0,0,7,3,100,1
11,not old enough to know,niet oud genoeg om het te weten,LGBTQ,7,7,0,0,7,3,100,1
1,are weird,zijn raar,LGBTQ,6,4,2,0,6,2.83,66.67,2
3,are weird,raar zijn,LGBTQ,6,4,2,0,6,2.83,66.67,2
5,are weird,ze raar zijn,LGBTQ,6,4,2,0,6,2.83,66.67,2
11,weird,raar,LGBTQ,6,4,2,0,6,2.83,66.67,2
1,are overly sexual,zijn overdreven seksueel,"LGBTQ, Homo",6,6,0,0,6,2.17,100,1
3,are overly sexual,overdreven seksueel zijn,"LGBTQ, Homo",6,6,0,0,6,2.17,100,1
5,are overly sexual,ze overdreven seksueel zijn,"LGBTQ, Homo",6,6,0,0,6,2.17,100,1
11,overly sexual,overdreven seksueel,"LGBTQ, Homo",6,6,0,0,6,2.17,100,1
1,can't be religious,kunnen niet religieus zijn,"LGBTQ, Queer, Homo",9,5,4,1,9,1.56,55.56,2
3,can't be religious,niet religieus kunnen zijn,"LGBTQ, Queer, Homo",9,5,4,1,9,1.56,55.56,2
5,can't be religious,ze niet religieus kunnen zijn,"LGBTQ, Queer, Homo",9,5,4,1,9,1.56,55.56,2
11,can't be religious,kan niet religieus zijn,"LGBTQ, Queer, Homo",9,5,4,1,9,1.56,55.56,2
1,are confused,zijn in de war,"LGBTQ, Aseksueel, Transgender, Biseksueel, Non-binair",6,4,2,0,6,3.17,66.67,2
3,are confused,in de war zijn,"LGBTQ, Aseksueel, Transgender, Biseksueel, Non-binair",6,4,2,0,6,3.17,66.67,2
5,are confused,ze in de war zijn,"LGBTQ, Aseksueel, Transgender, Biseksueel, Non-binair",6,4,2,0,6,3.17,66.67,2
11,confused,in de war,"LGBTQ, Aseksueel, Transgender, Biseksueel, Non-binair",6,4,2,0,6,3.17,66.67,2
1,are lacking commitment,hebben een gebrek aan toewijding,"LGBTQ, Aseksueel",7,4,3,0,7,2.71,57.14,2
3,are lacking commitment,een gebrek aan toewijding hebben,"LGBTQ, Aseksueel",7,4,3,0,7,2.71,57.14,2
5,are lacking commitment,ze een gebrek aan toewijding hebben,"LGBTQ, Aseksueel",7,4,3,0,7,2.71,57.14,2
11,lacks commitment,heeft een gebrek aan toewijding,"LGBTQ, Aseksueel",7,4,3,0,7,2.71,57.14,2
1,are pretending,doen alsof,"LGBTQ, Aseksueel",7,5,2,0,7,3.57,71.43,1
3,are pretending,doen alsof,"LGBTQ, Aseksueel",7,5,2,0,7,3.57,71.43,1
5,are pretending,ze doen alsof,"LGBTQ, Aseksueel",7,5,2,0,7,3.57,71.43,1
11,pretending,doet alsof,"LGBTQ, Aseksueel",7,5,2,0,7,3.57,71.43,1
1,are predatory,zijn roofzuchtig,"LGBTQ, Homo",8,2,6,1,9,1.78,25,-1
3,are predatory,roofzuchtig zijn,"LGBTQ, Homo",8,2,6,1,9,1.78,25,-1
5,are predatory,ze roofzuchtig zijn,"LGBTQ, Homo",8,2,6,1,9,1.78,25,-1
11,predatory,roofzuchtig,"LGBTQ, Homo",8,2,6,1,9,1.78,25,-1
1,are dangerous to straight people,zijn gevaarlijk voor heteroseksuelen,LGBTQ,7,5,2,1,7,2.86,71.43,1
3,are dangerous to straight people,gevaarlijk zijn voor heteroseksuelen,LGBTQ,7,5,2,1,7,2.86,71.43,1
5,are dangerous to straight people,ze gevaarlijk zijn voor heteroseksuelen,LGBTQ,7,5,2,1,7,2.86,71.43,1
11,dangerous to straight people,gevaarlijk voor heteroseksuelen,LGBTQ,7,5,2,1,7,2.86,71.43,1
1,are sexually deviant,zijn seksueel afwijkend,"LGBTQ, Queer, Biseksueel, Panseksueel, Homo",7,5,2,0,7,3.14,71.43,1
3,are sexually deviant,seksueel afwijkend zijn,"LGBTQ, Queer, Biseksueel, Panseksueel, Homo",7,5,2,0,7,3.14,71.43,1
5,are sexually deviant,ze seksueel afwijkend zijn,"LGBTQ, Queer, Biseksueel, Panseksueel, Homo",7,5,2,0,7,3.14,71.43,1
11,sexually deviant,seksueel afwijkend,"LGBTQ, Queer, Biseksueel, Panseksueel, Homo",7,5,2,0,7,3.14,71.43,1
1,are deviant,zijn afwijkend,"LGBTQ, Queer, Biseksueel, Panseksueel, Homo",7,5,2,0,7,2.43,71.43,1
3,are deviant,afwijkend zijn,"LGBTQ, Queer, Biseksueel, Panseksueel, Homo",7,5,2,0,7,2.43,71.43,1
5,are deviant,ze afwijkend zijn,"LGBTQ, Queer, Biseksueel, Panseksueel, Homo",7,5,2,0,7,2.43,71.43,1
11,deviant,afwijkend,"LGBTQ, Queer, Biseksueel, Panseksueel, Homo",7,5,2,0,7,2.43,71.43,1
1,are a danger to children,zijn een gevaar voor kinderen,"LGBTQ, Queer, Homo, Non-binair",7,4,3,0,7,3.71,57.14,2
3,are a danger to children,een gevaar zijn voor kinderen,"LGBTQ, Queer, Homo, Non-binair",7,4,3,0,7,3.71,57.14,2
5,are a danger to children,ze een gevaar zijn voor kinderen,"LGBTQ, Queer, Homo, Non-binair",7,4,3,0,7,3.71,57.14,2
11,a danger to children,een gevaar voor kinderen,"LGBTQ, Queer, Homo, Non-binair",7,4,3,0,7,3.71,57.14,2
1,are child molesters,zijn kindermisbruikers,"LGBTQ, Queer, Homo, Non-binair",9,5,4,0,9,4,55.56,2
3,are child molesters,kindermisbruikers zijn,"LGBTQ, Queer, Homo, Non-binair",9,5,4,0,9,4,55.56,2
5,are child molesters,ze kindermisbruikers zijn,"LGBTQ, Queer, Homo, Non-binair",9,5,4,0,9,4,55.56,2
11,a child molester,een kindermisbruiker,"LGBTQ, Queer, Homo, Non-binair",9,5,4,0,9,4,55.56,2
1,are contagious,zijn besmettelijk,"LGBTQ, Queer, Homo, Non-binair",8,5,3,1,9,3.78,62.5,2
3,are contagious,besmettelijk zijn,"LGBTQ, Queer, Homo, Non-binair",8,5,3,1,9,3.78,62.5,2
5,are contagious,ze besmettelijk zijn,"LGBTQ, Queer, Homo, Non-binair",8,5,3,1,9,3.78,62.5,2
11,contagious,besmettelijk,"LGBTQ, Queer, Homo, Non-binair",8,5,3,1,9,3.78,62.5,2
1,are survivors,zijn overlevers,"LGBTQ, Queer, Homo, Non-binair",7,1,6,0,7,-0.71,14.29,-1
3,are survivors,overlevers zijn,"LGBTQ, Queer, Homo, Non-binair",7,1,6,0,7,-0.71,14.29,-1
5,are survivors,ze overlevers zijn,"LGBTQ, Queer, Homo, Non-binair",7,1,6,0,7,-0.71,14.29,-1
11,a survivor,een overlever,"LGBTQ, Queer, Homo, Non-binair",7,1,6,0,7,-0.71,14.29,-1
1,are overly sensitive,zijn overgevoelig,"LGBTQ, Transgender, Aseksueel, Non-binair",6,6,0,0,6,2,100,1
3,are overly sensitive,overgevoelig zijn,"LGBTQ, Transgender, Aseksueel, Non-binair",6,6,0,0,6,2,100,1
5,are overly sensitive,ze overgevoelig zijn,"LGBTQ, Transgender, Aseksueel, Non-binair",6,6,0,0,6,2,100,1
11,overly sensitive,overgevoelig,"LGBTQ, Transgender, Aseksueel, Non-binair",6,6,0,0,6,2,100,1
1,are deranged,zijn gestoord,LGBTQ,7,3,4,1,7,3.14,42.86,3
3,are deranged,gestoord zijn,LGBTQ,7,3,4,1,7,3.14,42.86,3
5,are deranged,ze gestoord zijn,LGBTQ,7,3,4,1,7,3.14,42.86,3
11,deranged,gestoord,LGBTQ,7,3,4,1,7,3.14,42.86,3
1,are evil,zijn kwaadaardig,"LGBTQ, Homo",6,3,3,0,6,3.17,50,2
3,are evil,kwaadaardig zijn,"LGBTQ, Homo",6,3,3,0,6,3.17,50,2
5,are evil,ze kwaadaardig zijn,"LGBTQ, Homo",6,3,3,0,6,3.17,50,2
11,evil,kwaadaardig,"LGBTQ, Homo",6,3,3,0,6,3.17,50,2
1,deserve to be punished for being a menace to society,verdienen het om gestraft te worden omdat ze een bedreiging vormen voor de samenleving,LGBTQ,6,2,4,0,6,3.83,33.33,3
3,deserve to be punished for being a menace to society,het verdienen om gestraft te worden omdat ze een bedreiging vormen voor de samenleving,LGBTQ,6,2,4,0,6,3.83,33.33,3
5,deserve to be punished for being a menace to society,ze gestraft moeten worden omdat ze een bedreiging vormen voor de samenleving.,LGBTQ,6,2,4,0,6,3.83,33.33,3
